votes_dem,votes_gop,total_votes,state_abbr,county_name,combined_fips
2252.0,6839.0,9530.0,IN,Fayette County,18041
13939.0,21427.0,37225.0,IN,Floyd County,18043
1476.0,5661.0,7474.0,IN,Fountain County,18045
1967.0,8665.0,10990.0,IN,Franklin County,18047
1960.0,6010.0,8374.0,IN,Fulton County,18049
3720.0,11079.0,15472.0,IN,Gibson County,18051
7029.0,17009.0,25239.0,IN,Grant County,18053
2929.0,10275.0,13763.0,IN,Greene County,18055
57214.0,87299.0,153630.0,IN,Hamilton County,18057
8901.0,25050.0,36027.0,IN,Hancock County,18059
4776.0,12993.0,18528.0,IN,Harrison County,18061
22595.0,48326.0,75258.0,IN,Hendricks County,18063
5124.0,13895.0,20075.0,IN,Henry County,18065
11215.0,23675.0,36754.0,IN,Howard County,18067
3506.0,11649.0,15974.0,IN,Huntington County,18069
3843.0,12857.0,17532.0,IN,Jackson County,18071
3329.0,9382.0,13331.0,IN,Jasper County,18073
1889.0,5697.0,7962.0,IN,Jay County,18075
4325.0,8538.0,13461.0,IN,Jefferson County,18077
2364.0,8222.0,11115.0,IN,Jennings County,18079
17318.0,45456.0,66229.0,IN,Johnson County,18081
3772.0,11077.0,15483.0,IN,Knox County,18083
6311.0,23909.0,31907.0,IN,Kosciusko County,18085
2080.0,7025.0,9552.0,IN,LaGrange County,18087
116896.0,75565.0,200247.0,IN,Lake County,18089
19795.0,22678.0,44994.0,IN,LaPorte County,18091
4210.0,14034.0,19076.0,IN,Lawrence County,18093
18595.0,32376.0,53660.0,IN,Madison County,18095
212676.0,130228.0,361070.0,IN,Marion County,18097
4798.0,12286.0,18008.0,IN,Marshall County,18099
881.0,3695.0,4807.0,IN,Martin County,18101
2766.0,9975.0,13440.0,IN,Miami County,18103
34183.0,20527.0,57623.0,IN,Monroe County,18105
3362.0,11051.0,15101.0,IN,Montgomery County,18107
6037.0,23671.0,31180.0,IN,Morgan County,18109
1403.0,4074.0,5791.0,IN,Newton County,18111
3904.0,12198.0,16890.0,IN,Noble County,18113
686.0,2118.0,2917.0,IN,Ohio County,18115
2048.0,5800.0,8189.0,IN,Orange County,18117
1946.0,6151.0,8520.0,IN,Owen County,18119
1441.0,4863.0,6576.0,IN,Parke County,18121
3062.0,4556.0,8025.0,IN,Perry County,18123
1297.0,4398.0,5977.0,IN,Pike County,18125
33531.0,38719.0,76492.0,IN,Porter County,18127
3515.0,8393.0,12448.0,IN,Posey County,18129
1327.0,3854.0,5437.0,IN,Pulaski County,18131
3356.0,10637.0,14680.0,IN,Putnam County,18133
2446.0,7515.0,10456.0,IN,Randolph County,18135
2471.0,9806.0,12790.0,IN,Ripley County,18137
1525.0,5292.0,7214.0,IN,Rush County,18139
2642.0,6074.0,9060.0,IN,Scott County,18143
4247.0,12718.0,17935.0,IN,Shelby County,18145
2861.0,6572.0,9959.0,IN,Spencer County,18147
52247.0,52019.0,109452.0,IN,St. Joseph County,18141
2489.0,6367.0,9226.0,IN,Starke County,18149
3741.0,10127.0,14530.0,IN,Steuben County,18151
2113.0,6138.0,8559.0,IN,Sullivan County,18153
930.0,2558.0,3639.0,IN,Switzerland County,18155
27207.0,30711.0,61916.0,IN,Tippecanoe County,18157
1587.0,5589.0,7510.0,IN,Tipton County,18159
715.0,2445.0,3286.0,IN,Union County,18161
28296.0,40422.0,71957.0,IN,Vanderburgh County,18163
2081.0,4511.0,6913.0,IN,Vermillion County,18165
15922.0,21924.0,39569.0,IN,Vigo County,18167
3018.0,9819.0,13415.0,IN,Wabash County,18169
839.0,2896.0,3919.0,IN,Warren County,18171
9086.0,19133.0,29609.0,IN,Warrick County,18173
2636.0,8206.0,11333.0,IN,Washington County,18175
8322.0,16028.0,25575.0,IN,Wayne County,18177
2585.0,9999.0,13123.0,IN,Wells County,18179
2563.0,6813.0,9902.0,IN,White County,18181
3379.0,11357.0,15535.0,IN,Whitley County,18183
1398.0,3575.0,5314.0,KS,Allen County,20001
665.0,2386.0,3277.0,KS,Anderson County,20003
1946.0,3977.0,6393.0,KS,Atchison County,20005
281.0,1822.0,2209.0,KS,Barber County,20007
1823.0,7766.0,10088.0,KS,Barton County,20009
1306.0,4314.0,5918.0,KS,Bourbon County,20011
850.0,2861.0,3960.0,KS,Brown County,20013
6489.0,18781.0,27051.0,KS,Butler County,20015
313.0,964.0,1342.0,KS,Chase County,20017
236.0,1552.0,1845.0,KS,Chautauqua County,20019
1959.0,6017.0,8386.0,KS,Cherokee County,20021
